Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,concept:instance,concept:name,lifecycle:transition,org:group,org:resource,time:timestamp
case-10011,Confirmation of receipt,Resource21,2011/10/11 21:45:40.276,Variant 7,7,task-42933,Confirmation of receipt,complete,Group 1,Resource21,2011-10-11T21:45:40.276+10:00
case-10011,T02 Check confirmation of receipt,Resource10,2011/10/12 16:26:25.398,Variant 7,7,task-42935,T02 Check confirmation of receipt,complete,Group 4,Resource10,2011-10-12T16:26:25.398+10:00
case-10011,T03 Adjust confirmation of receipt,Resource21,2011/11/25 00:36:51.302,Variant 7,7,task-42957,T03 Adjust confirmation of receipt,complete,Group 1,Resource21,2011-11-25T00:36:51.302+10:00
case-10011,T02 Check confirmation of receipt,Resource21,2011/11/25 00:37:16.553,Variant 7,7,task-47958,T02 Check confirmation of receipt,complete,Group 4,Resource21,2011-11-25T00:37:16.553+10:00
case-10017,Confirmation of receipt,Resource30,2011/10/18 21:46:39.679,Variant 14,14,task-43021,Confirmation of receipt,complete,EMPTY,Resource30,2011-10-18T21:46:39.679+10:00
case-10017,T06 Determine necessity of stop advice,Resource30,2011/10/18 21:47:06.950,Variant 14,14,task-43672,T06 Determine necessity of stop advice,complete,Group 1,Resource30,2011-10-18T21:47:06.950+10:00
case-10017,T02 Check confirmation of receipt,Resource30,2011/10/18 21:47:26.235,Variant 14,14,task-43671,T02 Check confirmation of receipt,complete,Group 4,Resource30,2011-10-18T21:47:26.235+10:00
case-10017,T03 Adjust confirmation of receipt,Resource30,2011/10/18 21:47:41.811,Variant 14,14,task-43674,T03 Adjust confirmation of receipt,complete,Group 1,Resource30,2011-10-18T21:47:41.811+10:00
case-10017,T02 Check confirmation of receipt,Resource30,2011/10/18 21:47:57.979,Variant 14,14,task-43675,T02 Check confirmation of receipt,complete,Group 4,Resource30,2011-10-18T21:47:57.979+10:00
case-10017,T10 Determine necessity to stop indication,Resource30,2011/10/18 21:48:15.357,Variant 14,14,task-43673,T10 Determine necessity to stop indication,complete,Group 1,Resource30,2011-10-18T21:48:15.357+10:00
case-10017,T03 Adjust confirmation of receipt,Resource30,2011/10/18 21:48:30.632,Variant 14,14,task-43676,T03 Adjust confirmation of receipt,complete,Group 1,Resource30,2011-10-18T21:48:30.632+10:00
case-10017,T02 Check confirmation of receipt,Resource30,2011/10/18 21:51:01.525,Variant 14,14,task-43679,T02 Check confirmation of receipt,complete,Group 4,Resource30,2011-10-18T21:51:01.525+10:00
case-10017,T03 Adjust confirmation of receipt,admin2,2011/10/18 21:56:57.603,Variant 14,14,task-43686,T03 Adjust confirmation of receipt,complete,Group 1,admin2,2011-10-18T21:56:57.603+10:00
case-10070,Confirmation of receipt,Resource13,2011/11/10 04:43:25.050,Variant 6,6,task-43793,Confirmation of receipt,complete,EMPTY,Resource13,2011-11-10T04:43:25.050+10:00
case-10070,T06 Determine necessity of stop advice,Resource13,2011/11/10 04:43:50.463,Variant 6,6,task-46107,T06 Determine necessity of stop advice,complete,Group 1,Resource13,2011-11-10T04:43:50.463+10:00
case-10070,T02 Check confirmation of receipt,Resource13,2011/11/10 04:44:27.071,Variant 6,6,task-46106,T02 Check confirmation of receipt,complete,EMPTY,Resource13,2011-11-10T04:44:27.071+10:00
case-10070,T04 Determine confirmation of receipt,Resource13,2011/11/10 04:44:58.894,Variant 6,6,task-46109,T04 Determine confirmation of receipt,complete,EMPTY,Resource13,2011-11-10T04:44:58.894+10:00
case-10070,T10 Determine necessity to stop indication,Resource13,2011/11/10 04:45:21.385,Variant 6,6,task-46108,T10 Determine necessity to stop indication,complete,Group 1,Resource13,2011-11-10T04:45:21.385+10:00
case-10070,T05 Print and send confirmation of receipt,Resource13,2011/11/10 04:48:48.443,Variant 6,6,task-46110,T05 Print and send confirmation of receipt,complete,Group 2,Resource13,2011-11-10T04:48:48.443+10:00
case-10225,Confirmation of receipt,Resource14,2011/12/07 18:11:29.887,Variant 1,1,task-45089,Confirmation of receipt,complete,EMPTY,Resource14,2011-12-07T18:11:29.887+10:00
case-10225,T06 Determine necessity of stop advice,Resource14,2011/12/07 19:01:02.208,Variant 1,1,task-49272,T06 Determine necessity of stop advice,complete,Group 1,Resource14,2011-12-07T19:01:02.208+10:00
case-10225,T02 Check confirmation of receipt,Resource14,2011/12/07 19:04:22.794,Variant 1,1,task-49271,T02 Check confirmation of receipt,complete,Group 4,Resource14,2011-12-07T19:04:22.794+10:00
case-10225,T04 Determine confirmation of receipt,Resource14,2011/12/07 19:05:05.939,Variant 1,1,task-49296,T04 Determine confirmation of receipt,complete,Group 3,Resource14,2011-12-07T19:05:05.939+10:00
case-10225,T05 Print and send confirmation of receipt,Resource14,2011/12/07 19:05:36.523,Variant 1,1,task-49298,T05 Print and send confirmation of receipt,complete,Group 2,Resource14,2011-12-07T19:05:36.523+10:00
case-10225,T10 Determine necessity to stop indication,Resource14,2011/12/07 19:16:31.803,Variant 1,1,task-49294,T10 Determine necessity to stop indication,complete,Group 1,Resource14,2011-12-07T19:16:31.803+10:00
case-10263,Confirmation of receipt,Resource12,2011/11/18 23:15:19.355,Variant 15,15,task-45829,Confirmation of receipt,complete,EMPTY,Resource12,2011-11-18T23:15:19.355+10:00
case-10263,T02 Check confirmation of receipt,Resource12,2011/11/18 23:15:51.435,Variant 15,15,task-47271,T02 Check confirmation of receipt,complete,Group 4,Resource12,2011-11-18T23:15:51.435+10:00
case-10263,T04 Determine confirmation of receipt,Resource12,2011/11/18 23:17:30.382,Variant 15,15,task-47275,T04 Determine confirmation of receipt,complete,Group 3,Resource12,2011-11-18T23:17:30.382+10:00
case-10263,T06 Determine necessity of stop advice,Resource12,2011/11/29 23:23:32.990,Variant 15,15,task-47272,T06 Determine necessity of stop advice,complete,Group 1,Resource12,2011-11-29T23:23:32.990+10:00
