Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,(case) channel,(case) department,(case) group,(case) responsible,concept:instance,lifecycle:transition,org:group
case-7953,Confirmation of receipt,Resource13,2011/06/16 18:29:10.512,Variant 2,2,Internet,General,,Resource13,task-28148,complete,EMPTY
case-7953,T02 Check confirmation of receipt,Resource13,2011/06/16 18:31:00.907,Variant 2,2,Internet,General,,Resource13,task-28748,complete,EMPTY
case-7953,T03 Adjust confirmation of receipt,Resource13,2011/06/16 18:32:05.724,Variant 2,2,Internet,General,,Resource13,task-28750,complete,Group 1
case-7953,T02 Check confirmation of receipt,Resource13,2011/06/16 18:33:38.794,Variant 2,2,Internet,General,,Resource13,task-28751,complete,EMPTY
case-7953,T03 Adjust confirmation of receipt,Resource13,2011/06/16 18:38:06.334,Variant 2,2,Internet,General,,Resource13,task-28752,complete,Group 1
case-7953,T02 Check confirmation of receipt,Resource13,2011/06/16 18:38:26.918,Variant 2,2,Internet,General,,Resource13,task-28754,complete,Group 4
case-7953,T03 Adjust confirmation of receipt,Resource13,2011/06/16 18:40:22.888,Variant 2,2,Internet,General,,Resource13,task-28755,complete,Group 1
case-7953,T02 Check confirmation of receipt,Resource13,2011/06/16 18:40:44.627,Variant 2,2,Internet,General,,Resource13,task-28756,complete,Group 4
case-7953,T03 Adjust confirmation of receipt,Resource13,2011/06/16 18:49:05.232,Variant 2,2,Internet,General,,Resource13,task-28757,complete,Group 1
case-7953,T02 Check confirmation of receipt,Resource13,2011/06/16 18:49:26.714,Variant 2,2,Internet,General,,Resource13,task-28763,complete,Group 4
case-7953,T03 Adjust confirmation of receipt,Resource13,2011/06/16 18:50:46.469,Variant 2,2,Internet,General,,Resource13,task-28764,complete,Group 1
case-7953,T06 Determine necessity of stop advice,Resource13,2011/06/27 21:48:16.435,Variant 2,2,Internet,General,,Resource13,task-28749,complete,Group 1
case-7953,T02 Check confirmation of receipt,Resource13,2011/06/27 21:49:01.590,Variant 2,2,Internet,General,,Resource13,task-28765,complete,EMPTY
case-7953,T04 Determine confirmation of receipt,Resource13,2011/06/27 21:49:29.835,Variant 2,2,Internet,General,,Resource13,task-29866,complete,EMPTY
case-7953,T05 Print and send confirmation of receipt,Resource13,2011/06/27 21:49:50.828,Variant 2,2,Internet,General,,Resource13,task-29867,complete,EMPTY
case-7953,T10 Determine necessity to stop indication,Resource13,2011/06/27 21:50:06.272,Variant 2,2,Internet,General,,Resource13,task-29865,complete,Group 1
case-3926,Confirmation of receipt,Resource02,2010/11/04 20:33:28.141,Variant 3,3,e-mail,Experts,,Resource02,task-238,complete,Group 1
case-3926,T02 Check confirmation of receipt,Resource24,2010/11/04 23:01:34.394,Variant 3,3,e-mail,Experts,,Resource02,task-878,complete,EMPTY
case-3926,T06 Determine necessity of stop advice,Resource02,2010/11/04 23:59:41.086,Variant 3,3,e-mail,Experts,,Resource02,task-879,complete,Group 1
case-3926,T10 Determine necessity to stop indication,Resource02,2010/11/05 00:01:20.367,Variant 3,3,e-mail,Experts,,Resource02,task-968,complete,Group 1
case-3926,T03 Adjust confirmation of receipt,Resource02,2010/11/05 00:14:32.442,Variant 3,3,e-mail,Experts,,Resource02,task-944,complete,Group 1
case-3926,T02 Check confirmation of receipt,Resource24,2010/11/05 00:51:18.204,Variant 3,3,e-mail,Experts,,Resource02,task-981,complete,EMPTY
case-3926,T03 Adjust confirmation of receipt,Resource02,2010/11/05 17:25:01.081,Variant 3,3,e-mail,Experts,,Resource02,task-996,complete,Group 1
case-3926,T02 Check confirmation of receipt,Resource24,2010/11/05 18:34:08.144,Variant 3,3,e-mail,Experts,,Resource02,task-1010,complete,EMPTY
case-3926,T04 Determine confirmation of receipt,Resource10,2010/11/12 00:04:26.194,Variant 3,3,e-mail,Experts,,Resource02,task-1019,complete,Group 3
case-3926,T05 Print and send confirmation of receipt,admin1,2010/11/16 19:09:08.525,Variant 3,3,e-mail,Experts,,Resource02,task-1405,complete,Group 2
case-4084,Confirmation of receipt,Resource09,2010/11/05 00:18:51.161,Variant 4,4,Internet,General,,Resource06,task-516,complete,Group 1
case-4084,T02 Check confirmation of receipt,Resource09,2010/11/09 17:41:47.429,Variant 4,4,Internet,General,,Resource06,task-984,complete,EMPTY
case-4084,T06 Determine necessity of stop advice,Resource09,2010/11/09 17:58:12.628,Variant 4,4,Internet,General,,Resource06,task-985,complete,Group 1
case-4084,T03 Adjust confirmation of receipt,Resource09,2010/11/16 21:26:36.800,Variant 4,4,Internet,General,,Resource06,task-1223,complete,Group 1
case-4084,T02 Check confirmation of receipt,Resource09,2010/11/16 22:56:09.421,Variant 4,4,Internet,General,,Resource06,task-1526,complete,EMPTY
case-4084,T03 Adjust confirmation of receipt,Resource09,2010/11/16 22:56:45.290,Variant 4,4,Internet,General,,Resource06,task-1533,complete,Group 1
case-4084,T02 Check confirmation of receipt,Resource19,2010/11/17 22:43:42.511,Variant 4,4,Internet,General,,Resource06,task-1534,complete,EMPTY
case-4084,T04 Determine confirmation of receipt,Resource10,2010/11/22 17:30:48.002,Variant 4,4,Internet,General,,Resource06,task-1580,complete,Group 3
case-4084,T05 Print and send confirmation of receipt,admin1,2010/11/30 18:02:53.720,Variant 4,4,Internet,General,,Resource06,task-1787,complete,Group 2
case-4084,T07-5 Draft intern advice aspect 5,admin2,2010/12/20 21:38:27.652,Variant 4,4,Internet,General,,Resource06,task-1237,complete,Group 1
case-3766,Confirmation of receipt,Resource08,2010/10/05 21:01:58.437,Variant 1,1,Desk,Experts,,Resource08,task-35,complete,EMPTY
case-3766,T06 Determine necessity of stop advice,Resource08,2010/10/05 21:07:35.391,Variant 1,1,Desk,Experts,,Resource08,task-67,complete,Group 1
case-3766,T10 Determine necessity to stop indication,Resource08,2010/10/05 21:08:22.858,Variant 1,1,Desk,Experts,,Resource08,task-68,complete,Group 1
case-3766,T02 Check confirmation of receipt,Resource24,2010/10/05 23:03:36.552,Variant 1,1,Desk,Experts,,Resource08,task-66,complete,EMPTY
case-3766,T03 Adjust confirmation of receipt,Resource08,2010/10/05 23:22:03.157,Variant 1,1,Desk,Experts,,Resource08,task-81,complete,Group 1
case-3766,T02 Check confirmation of receipt,Resource24,2010/10/05 23:26:38.519,Variant 1,1,Desk,Experts,,Resource08,task-84,complete,EMPTY
