Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,concept:name,impact,lifecycle:transition,org:group,org:role,organization country,organization involved,product,resource country
1-351314317,Accepted-In Progress,Ewa,2010/02/03 16:34:32.000,Variant 1,1,Accepted,Medium,In Progress,Org line A2,A2_2,us,G21 2nd,PROD98,POLAND
1-351314317,Queued-Awaiting Assignment,Ewa,2010/02/03 16:45:18.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line A2,A2_2,us,G21 2nd,PROD98,POLAND
1-351314317,Accepted-In Progress,Ewa,2010/02/03 17:40:51.000,Variant 1,1,Accepted,Medium,In Progress,Org line A2,A2_2,us,G21 2nd,PROD98,POLAND
1-351314317,Accepted-Assigned,Ewa,2010/02/03 17:40:58.000,Variant 1,1,Accepted,Medium,Assigned,Org line A2,A2_2,us,G21 2nd,PROD98,POLAND
1-351314317,Accepted-In Progress,Ewa,2011/12/21 05:25:19.000,Variant 1,1,Accepted,Medium,In Progress,Org line A2,A2_2,us,G21 2nd,PROD98,POLAND
1-351314317,Completed-Closed,Ewa,2012/01/03 20:13:02.000,Variant 1,1,Completed,Medium,Closed,Org line A2,A2_2,us,G21 2nd,PROD98,POLAND
1-357087417,Accepted-In Progress,Carolyn,2010/03/01 13:54:12.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,USA
1-357087417,Queued-Awaiting Assignment,Carolyn,2010/03/01 14:04:33.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD98,USA
1-357087417,Accepted-In Progress,Naga,2010/03/01 18:53:51.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,Sweden
1-357087417,Accepted-Assigned,Carolyn,2010/03/01 19:00:54.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD98,USA
1-357087417,Accepted-In Progress,Ewa,2011/12/28 23:01:17.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,POLAND
