Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,concept:name,impact,lifecycle:transition,oranization country,org:group,org:role,organization country,organization involved,product,resource country
1-147898401,Accepted-In Progress,Tomas,2006/11/07 17:00:36.000,Variant 56,56,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-147898401,Accepted-In Progress,Tomas,2006/11/07 20:05:44.000,Variant 56,56,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-147898401,Accepted-Wait,Tomas,2009/12/02 21:24:32.000,Variant 56,56,Accepted,Medium,Wait,cn,Org line A2,A2_2,,,PROD753,Sweden
1-147898401,Accepted-In Progress,Tomas,2011/09/03 13:09:09.000,Variant 56,56,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-165554831,Accepted-In Progress,Tomas,2007/03/20 16:06:25.000,Variant 22,22,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-165554831,Accepted-Wait,Tomas,2009/12/02 21:24:31.000,Variant 22,22,Accepted,Medium,Wait,cn,Org line A2,A2_2,,,PROD753,Sweden
1-165554831,Accepted-In Progress,Tomas,2011/09/03 13:10:53.000,Variant 22,22,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-172473423,Accepted-In Progress,Tomas,2007/05/10 22:21:54.000,Variant 22,22,Accepted,Low,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-172473423,Accepted-Wait,Tomas,2009/12/02 21:24:33.000,Variant 22,22,Accepted,Low,Wait,cn,Org line A2,A2_2,,,PROD753,Sweden
1-172473423,Accepted-In Progress,Tomas,2011/09/03 13:10:59.000,Variant 22,22,Accepted,Low,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-182640781,Accepted-In Progress,Niklas,2007/07/25 20:21:05.000,Variant 39,39,Accepted,Medium,In Progress,se,Org line A2,A2_2,,,PROD681,Sweden
1-182640781,Accepted-Wait,Niklas,2009/12/02 21:24:32.000,Variant 39,39,Accepted,Medium,Wait,se,Org line A2,A2_2,,,PROD681,Sweden
1-182640781,Queued-Awaiting Assignment,Niklas,2010/08/25 17:13:01.000,Variant 39,39,Queued,Medium,Awaiting Assignment,se,Org line A2,A2_2,,,PROD681,Sweden
1-182640781,Accepted-In Progress,Niklas,2011/09/05 15:24:13.000,Variant 39,39,Accepted,Medium,In Progress,se,Org line A2,A2_2,,,PROD681,Sweden
1-182640781,Accepted-Assigned,Niklas,2011/11/14 23:10:25.000,Variant 39,39,Accepted,Medium,Assigned,se,Org line A2,A2_2,,,PROD681,Sweden
1-182640781,Accepted-In Progress,Niklas,2012/01/03 18:30:35.000,Variant 39,39,Accepted,Medium,In Progress,se,Org line A2,A2_2,,,PROD681,Sweden
1-182640781,Completed-Closed,Niklas,2012/01/03 18:31:53.000,Variant 39,39,Completed,Medium,Closed,se,Org line A2,A2_2,,,PROD681,Sweden
1-230541365,Accepted-In Progress,Tomas,2008/05/08 00:58:51.000,Variant 57,57,Accepted,High,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-230541365,Accepted-In Progress,Tomas,2008/10/06 22:44:37.000,Variant 57,57,Accepted,High,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-230541365,Accepted-Wait,Tomas,2009/12/02 21:24:34.000,Variant 57,57,Accepted,High,Wait,cn,Org line A2,A2_2,,,PROD753,Sweden
1-230541365,Accepted-In Progress,Tomas,2011/09/02 06:27:50.000,Variant 57,57,Accepted,High,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-230541365,Accepted-In Progress,Tomas,2011/09/02 06:27:55.000,Variant 57,57,Accepted,High,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-236817141,Accepted-In Progress,Tomas,2008/06/04 18:02:18.000,Variant 39,39,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD681,Sweden
1-236817141,Accepted-Wait,Tomas,2009/12/02 21:24:34.000,Variant 39,39,Accepted,Medium,Wait,cn,Org line A2,A2_2,,,PROD681,Sweden
1-236817141,Queued-Awaiting Assignment,Tomas,2010/08/25 17:06:45.000,Variant 39,39,Queued,Medium,Awaiting Assignment,cn,Org line A2,A2_2,,,PROD681,Sweden
1-236817141,Accepted-In Progress,Tomas,2011/09/03 14:02:11.000,Variant 39,39,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD681,Sweden
1-236817141,Accepted-Assigned,Niklas,2011/11/14 23:09:27.000,Variant 39,39,Accepted,Medium,Assigned,cn,Org line A2,A2_2,,,PROD681,Sweden
1-236817141,Accepted-In Progress,Tomas,2012/01/05 21:08:18.000,Variant 39,39,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD681,Sweden
1-236817141,Completed-Closed,Tomas,2012/01/05 21:09:00.000,Variant 39,39,Completed,Medium,Closed,cn,Org line A2,A2_2,,,PROD681,Sweden
