Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,(case) channel,(case) department,(case) group,(case) responsible,concept:instance,concept:name,lifecycle:transition,org:group
case-10011,Confirmation of receipt-complete,Resource21,2011/10/11 21:45:40.276,Variant 20,20,Internet,General,Group 2,Resource21,task-42933,Confirmation of receipt,complete,Group 1
case-10011,T02 Check confirmation of receipt-complete,Resource10,2011/10/12 16:26:25.398,Variant 20,20,Internet,General,Group 2,Resource21,task-42935,T02 Check confirmation of receipt,complete,Group 4
case-10011,T03 Adjust confirmation of receipt-complete,Resource21,2011/11/25 00:36:51.302,Variant 20,20,Internet,General,Group 2,Resource21,task-42957,T03 Adjust confirmation of receipt,complete,Group 1
case-10011,T02 Check confirmation of receipt-complete,Resource21,2011/11/25 00:37:16.553,Variant 20,20,Internet,General,Group 2,Resource21,task-47958,T02 Check confirmation of receipt,complete,Group 4
case-10017,Confirmation of receipt-complete,Resource30,2011/10/18 21:46:39.679,Variant 31,31,Internet,General,Group 5,Resource04,task-43021,Confirmation of receipt,complete,EMPTY
case-10017,T06 Determine necessity of stop advice-complete,Resource30,2011/10/18 21:47:06.950,Variant 31,31,Internet,General,Group 5,Resource04,task-43672,T06 Determine necessity of stop advice,complete,Group 1
case-10017,T02 Check confirmation of receipt-complete,Resource30,2011/10/18 21:47:26.235,Variant 31,31,Internet,General,Group 5,Resource04,task-43671,T02 Check confirmation of receipt,complete,Group 4
case-10017,T03 Adjust confirmation of receipt-complete,Resource30,2011/10/18 21:47:41.811,Variant 31,31,Internet,General,Group 5,Resource04,task-43674,T03 Adjust confirmation of receipt,complete,Group 1
case-10017,T02 Check confirmation of receipt-complete,Resource30,2011/10/18 21:47:57.979,Variant 31,31,Internet,General,Group 5,Resource04,task-43675,T02 Check confirmation of receipt,complete,Group 4
case-10017,T10 Determine necessity to stop indication-complete,Resource30,2011/10/18 21:48:15.357,Variant 31,31,Internet,General,Group 5,Resource04,task-43673,T10 Determine necessity to stop indication,complete,Group 1
case-10017,T03 Adjust confirmation of receipt-complete,Resource30,2011/10/18 21:48:30.632,Variant 31,31,Internet,General,Group 5,Resource04,task-43676,T03 Adjust confirmation of receipt,complete,Group 1
case-10017,T02 Check confirmation of receipt-complete,Resource30,2011/10/18 21:51:01.525,Variant 31,31,Internet,General,Group 5,Resource04,task-43679,T02 Check confirmation of receipt,complete,Group 4
case-10017,T03 Adjust confirmation of receipt-complete,admin2,2011/10/18 21:56:57.603,Variant 31,31,Internet,General,Group 5,Resource04,task-43686,T03 Adjust confirmation of receipt,complete,Group 1
case-10024,Confirmation of receipt-complete,Resource03,2011/10/18 23:53:19.732,Variant 1,1,Internet,General,Group 8,Resource11,task-43229,Confirmation of receipt,complete,EMPTY
case-10024,T02 Check confirmation of receipt-complete,Resource03,2011/10/18 23:53:38.108,Variant 1,1,Internet,General,Group 8,Resource11,task-43727,T02 Check confirmation of receipt,complete,Group 4
case-10024,T04 Determine confirmation of receipt-complete,Resource03,2011/10/18 23:53:53.778,Variant 1,1,Internet,General,Group 8,Resource11,task-43729,T04 Determine confirmation of receipt,complete,Group 3
case-10024,T05 Print and send confirmation of receipt-complete,Resource03,2011/10/18 23:54:06.717,Variant 1,1,Internet,General,Group 8,Resource11,task-43730,T05 Print and send confirmation of receipt,complete,Group 2
case-10024,T06 Determine necessity of stop advice-complete,Resource03,2011/10/18 23:54:24.121,Variant 1,1,Internet,General,Group 8,Resource11,task-43728,T06 Determine necessity of stop advice,complete,Group 1
case-10024,T10 Determine necessity to stop indication-complete,Resource03,2011/10/18 23:57:18.847,Variant 1,1,Internet,General,Group 8,Resource11,task-43731,T10 Determine necessity to stop indication,complete,Group 1
case-10025,Confirmation of receipt-complete,Resource03,2011/10/25 17:27:08.484,Variant 1,1,Internet,General,Group 8,Resource11,task-43231,Confirmation of receipt,complete,EMPTY
case-10025,T02 Check confirmation of receipt-complete,Resource03,2011/10/25 17:27:27.316,Variant 1,1,Internet,General,Group 8,Resource11,task-44375,T02 Check confirmation of receipt,complete,Group 4
case-10025,T04 Determine confirmation of receipt-complete,Resource03,2011/10/25 17:27:46.307,Variant 1,1,Internet,General,Group 8,Resource11,task-44377,T04 Determine confirmation of receipt,complete,Group 3
case-10025,T05 Print and send confirmation of receipt-complete,Resource03,2011/10/25 17:28:00.504,Variant 1,1,Internet,General,Group 8,Resource11,task-44379,T05 Print and send confirmation of receipt,complete,Group 2
case-10025,T06 Determine necessity of stop advice-complete,Resource03,2011/10/25 17:28:15.484,Variant 1,1,Internet,General,Group 8,Resource11,task-44376,T06 Determine necessity of stop advice,complete,Group 1
case-10025,T10 Determine necessity to stop indication-complete,Resource03,2011/10/25 17:28:33.002,Variant 1,1,Internet,General,Group 8,Resource11,task-44380,T10 Determine necessity to stop indication,complete,Group 1
case-10028,Confirmation of receipt-complete,Resource03,2011/10/25 22:13:10.744,Variant 12,12,Internet,General,Group 8,Resource11,task-43250,Confirmation of receipt,complete,EMPTY
case-10028,T02 Check confirmation of receipt-complete,Resource03,2011/10/25 22:13:31.837,Variant 12,12,Internet,General,Group 8,Resource11,task-44467,T02 Check confirmation of receipt,complete,Group 4
case-10028,T04 Determine confirmation of receipt-complete,Resource03,2011/10/25 22:13:49.542,Variant 12,12,Internet,General,Group 8,Resource11,task-44469,T04 Determine confirmation of receipt,complete,Group 3
