Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,(case) channel,(case) department,(case) group,(case) responsible,concept:instance,concept:name,lifecycle:transition,org:group
case-10011,Confirmation of receipt-complete,Resource21,2011/10/11 19:45:40.276,Variant 52,52,Internet,General,Group 2,Resource21,task-42933,Confirmation of receipt,complete,Group 1
case-10011,T02 Check confirmation of receipt-complete,Resource10,2011/10/12 14:26:25.398,Variant 52,52,Internet,General,Group 2,Resource21,task-42935,T02 Check confirmation of receipt,complete,Group 4
case-10011,T03 Adjust confirmation of receipt-complete,Resource21,2011/11/24 22:36:51.302,Variant 52,52,Internet,General,Group 2,Resource21,task-42957,T03 Adjust confirmation of receipt,complete,Group 1
case-10011,T02 Check confirmation of receipt-complete,Resource21,2011/11/24 22:37:16.553,Variant 52,52,Internet,General,Group 2,Resource21,task-47958,T02 Check confirmation of receipt,complete,Group 4
case-10017,T06 Determine necessity of stop advice-complete,Resource30,2011/10/18 19:47:06.950,Variant 67,67,Internet,General,Group 5,Resource04,task-43672,T06 Determine necessity of stop advice,complete,Group 1
case-10017,T02 Check confirmation of receipt-complete,Resource30,2011/10/18 19:47:26.235,Variant 67,67,Internet,General,Group 5,Resource04,task-43671,T02 Check confirmation of receipt,complete,Group 4
case-10017,T03 Adjust confirmation of receipt-complete,Resource30,2011/10/18 19:47:41.811,Variant 67,67,Internet,General,Group 5,Resource04,task-43674,T03 Adjust confirmation of receipt,complete,Group 1
case-10017,T02 Check confirmation of receipt-complete,Resource30,2011/10/18 19:47:57.979,Variant 67,67,Internet,General,Group 5,Resource04,task-43675,T02 Check confirmation of receipt,complete,Group 4
case-10017,T10 Determine necessity to stop indication-complete,Resource30,2011/10/18 19:48:15.357,Variant 67,67,Internet,General,Group 5,Resource04,task-43673,T10 Determine necessity to stop indication,complete,Group 1
case-10017,T03 Adjust confirmation of receipt-complete,Resource30,2011/10/18 19:48:30.632,Variant 67,67,Internet,General,Group 5,Resource04,task-43676,T03 Adjust confirmation of receipt,complete,Group 1
case-10017,T02 Check confirmation of receipt-complete,Resource30,2011/10/18 19:51:01.525,Variant 67,67,Internet,General,Group 5,Resource04,task-43679,T02 Check confirmation of receipt,complete,Group 4
case-10017,T03 Adjust confirmation of receipt-complete,admin2,2011/10/18 19:56:57.603,Variant 67,67,Internet,General,Group 5,Resource04,task-43686,T03 Adjust confirmation of receipt,complete,Group 1
case-10024,T02 Check confirmation of receipt-complete,Resource03,2011/10/18 21:53:38.108,Variant 1,1,Internet,General,Group 8,Resource11,task-43727,T02 Check confirmation of receipt,complete,Group 4
case-10024,T04 Determine confirmation of receipt-complete,Resource03,2011/10/18 21:53:53.778,Variant 1,1,Internet,General,Group 8,Resource11,task-43729,T04 Determine confirmation of receipt,complete,Group 3
case-10024,T05 Print and send confirmation of receipt-complete,Resource03,2011/10/18 21:54:06.717,Variant 1,1,Internet,General,Group 8,Resource11,task-43730,T05 Print and send confirmation of receipt,complete,Group 2
case-10024,T06 Determine necessity of stop advice-complete,Resource03,2011/10/18 21:54:24.121,Variant 1,1,Internet,General,Group 8,Resource11,task-43728,T06 Determine necessity of stop advice,complete,Group 1
case-10024,T10 Determine necessity to stop indication-complete,Resource03,2011/10/18 21:57:18.847,Variant 1,1,Internet,General,Group 8,Resource11,task-43731,T10 Determine necessity to stop indication,complete,Group 1
case-10025,T02 Check confirmation of receipt-complete,Resource03,2011/10/25 15:27:27.316,Variant 1,1,Internet,General,Group 8,Resource11,task-44375,T02 Check confirmation of receipt,complete,Group 4
case-10025,T04 Determine confirmation of receipt-complete,Resource03,2011/10/25 15:27:46.307,Variant 1,1,Internet,General,Group 8,Resource11,task-44377,T04 Determine confirmation of receipt,complete,Group 3
case-10025,T05 Print and send confirmation of receipt-complete,Resource03,2011/10/25 15:28:00.504,Variant 1,1,Internet,General,Group 8,Resource11,task-44379,T05 Print and send confirmation of receipt,complete,Group 2
case-10025,T06 Determine necessity of stop advice-complete,Resource03,2011/10/25 15:28:15.484,Variant 1,1,Internet,General,Group 8,Resource11,task-44376,T06 Determine necessity of stop advice,complete,Group 1
case-10025,T10 Determine necessity to stop indication-complete,Resource03,2011/10/25 15:28:33.002,Variant 1,1,Internet,General,Group 8,Resource11,task-44380,T10 Determine necessity to stop indication,complete,Group 1
case-10028,T02 Check confirmation of receipt-complete,Resource03,2011/10/25 20:13:31.837,Variant 25,25,Internet,General,Group 8,Resource11,task-44467,T02 Check confirmation of receipt,complete,Group 4
case-10028,T04 Determine confirmation of receipt-complete,Resource03,2011/10/25 20:13:49.542,Variant 25,25,Internet,General,Group 8,Resource11,task-44469,T04 Determine confirmation of receipt,complete,Group 3
case-10028,T05 Print and send confirmation of receipt-complete,Resource03,2011/10/25 20:14:24.249,Variant 25,25,Internet,General,Group 8,Resource11,task-44470,T05 Print and send confirmation of receipt,complete,Group 2
case-10028,T06 Determine necessity of stop advice-complete,Resource03,2011/10/25 20:22:15.239,Variant 25,25,Internet,General,Group 8,Resource11,task-44468,T06 Determine necessity of stop advice,complete,Group 1
case-10028,T10 Determine necessity to stop indication-complete,Resource03,2011/10/25 20:23:06.272,Variant 25,25,Internet,General,Group 8,Resource11,task-44471,T10 Determine necessity to stop indication,complete,Group 1
case-10028,T16 Report reasons to hold request-complete,Resource03,2011/10/25 20:23:58.755,Variant 25,25,Internet,General,Group 8,Resource11,task-44472,T16 Report reasons to hold request,complete,Group 1
case-10028,T17 Check report Y to stop indication-complete,Resource03,2011/10/25 20:24:22.922,Variant 25,25,Internet,General,Group 8,Resource11,task-44473,T17 Check report Y to stop indication,complete,Group 4
case-10028,T19 Determine report Y to stop indication-complete,Resource03,2011/10/25 20:24:55.079,Variant 25,25,Internet,General,Group 8,Resource11,task-44474,T19 Determine report Y to stop indication,complete,Group 3
case-10028,T20 Print report Y to stop indication-complete,Resource03,2011/10/25 20:25:10.989,Variant 25,25,Internet,General,Group 8,Resource11,task-44475,T20 Print report Y to stop indication,complete,Group 2
case-10059,T02 Check confirmation of receipt-complete,Resource06,2011/10/17 21:31:51.615,Variant 1,1,Internet,General,Group 5,Resource06,task-43499,T02 Check confirmation of receipt,complete,Group 4
case-10059,T04 Determine confirmation of receipt-complete,Resource06,2011/10/17 21:32:34.591,Variant 1,1,Internet,General,Group 5,Resource06,task-43501,T04 Determine confirmation of receipt,complete,Group 3
case-10059,T05 Print and send confirmation of receipt-complete,Resource06,2011/10/17 21:33:42.796,Variant 1,1,Internet,General,Group 5,Resource06,task-43503,T05 Print and send confirmation of receipt,complete,Group 2
case-10059,T06 Determine necessity of stop advice-complete,Resource06,2011/10/17 21:34:25.518,Variant 1,1,Internet,General,Group 5,Resource06,task-43500,T06 Determine necessity of stop advice,complete,Group 1
case-10059,T10 Determine necessity to stop indication-complete,Resource06,2011/10/17 21:41:19.472,Variant 1,1,Internet,General,Group 5,Resource06,task-43504,T10 Determine necessity to stop indication,complete,Group 1
case-10061,T06 Determine necessity of stop advice-complete,Resource03,2011/10/24 21:01:21.907,Variant 7,7,Internet,General,Group 8,Resource11,task-44274,T06 Determine necessity of stop advice,complete,Group 1
case-10061,T10 Determine necessity to stop indication-complete,Resource03,2011/10/24 21:01:44.536,Variant 7,7,Internet,General,Group 8,Resource11,task-44275,T10 Determine necessity to stop indication,complete,Group 1
case-10061,T02 Check confirmation of receipt-complete,Resource03,2011/10/24 21:01:59.826,Variant 7,7,Internet,General,Group 8,Resource11,task-44273,T02 Check confirmation of receipt,complete,Group 4
case-10061,T04 Determine confirmation of receipt-complete,Resource03,2011/10/24 21:02:16.227,Variant 7,7,Internet,General,Group 8,Resource11,task-44277,T04 Determine confirmation of receipt,complete,Group 3
case-10061,T05 Print and send confirmation of receipt-complete,Resource03,2011/10/24 21:02:32.399,Variant 7,7,Internet,General,Group 8,Resource11,task-44279,T05 Print and send confirmation of receipt,complete,Group 2
case-10062,Confirmation of receipt-complete,admin2,2011/10/18 19:34:39.087,Variant 9,9,Internet,Customer contact,,admin3,task-43664,Confirmation of receipt,complete,Group 1
case-10065,T02 Check confirmation of receipt-complete,Resource06,2011/10/28 16:31:49.811,Variant 1,1,Internet,General,Group 5,Resource06,task-44947,T02 Check confirmation of receipt,complete,Group 4
case-10065,T04 Determine confirmation of receipt-complete,Resource06,2011/10/28 16:32:08.374,Variant 1,1,Internet,General,Group 5,Resource06,task-44949,T04 Determine confirmation of receipt,complete,Group 3
case-10065,T05 Print and send confirmation of receipt-complete,Resource06,2011/10/28 16:32:49.753,Variant 1,1,Internet,General,Group 5,Resource06,task-44950,T05 Print and send confirmation of receipt,complete,Group 2
case-10065,T06 Determine necessity of stop advice-complete,Resource06,2011/10/28 16:45:06.394,Variant 1,1,Internet,General,Group 5,Resource06,task-44948,T06 Determine necessity of stop advice,complete,Group 1
case-10065,T10 Determine necessity to stop indication-complete,Resource06,2011/10/28 17:01:50.118,Variant 1,1,Internet,General,Group 5,Resource06,task-44955,T10 Determine necessity to stop indication,complete,Group 1
case-10066,T02 Check confirmation of receipt-complete,Resource22,2011/11/22 20:48:39.989,Variant 1,1,Internet,General,Group 5,Resource22,task-47561,T02 Check confirmation of receipt,complete,Group 4
case-10066,T04 Determine confirmation of receipt-complete,Resource22,2011/11/22 20:49:21.982,Variant 1,1,Internet,General,Group 5,Resource22,task-47565,T04 Determine confirmation of receipt,complete,Group 3
